fromCity,toCity,departureTime,passengers,airline
Jinzhou,Yantai,1464594360000,21,RK-602
Zhanjiang,Tokyo,1465466940000,510,WK-444
Kota,Karachi,1465896360000,196,HN-295
Calcutta,Vijayawada,1466549100000,87,RK-742
Teresina,Lima,1464481140000,133,WK-887
Taian,Peking,1466600820000,130,WI-858
Bandung,Seoul,1464962460000,190,OG-600
Birmingham,Hamburg,1464406200000,43,RK-726
Karachi,Lakhnau,1465424520000,223,QI-972
Istanbul,Gizeh,1464871440000,194,SK-558
Dhaka,Rangoon,1465015920000,174,NS-650
Calcutta,Raipur,1465655940000,84,UA-875
Ghaziabad,Kota,1465730580000,31,SI-616
Huaiyin,Hiroshima,1465478520000,26,DN-789
Mersin,Aleppo,1466014860000,43,HN-172
Houston,Zapopan,1464730860000,47,EA-713
Bombay,Palembang,1465589820000,221,AD-271
Hyderabad,Bangalore,1466347560000,135,TX-576
Bhiwandi,Shanghai,1464976980000,243,AM-688
Cairo,Kryvyy Rih,1466048400000,133,WK-155
Anshan,Tokyo,1465904520000,519,SK-202
Bogotá,Bucaramanga,1465673820000,121,DN-376
Cairo,Sofia,1465119060000,139,SI-107
Voronezh,Ankara,1465580580000,69,DN-149
Taiyuan,Fushun,1464415500000,65,EA-536
Seoul,New Delhi,1465260720000,337,WI-173
Jaipur,New Delhi,1464769920000,216,FI-303
Baku,Cairo,1464696480000,140,WK-661
Qiqihar,Tokyo,1465688220000,514,QM-782
Chandigarh,Delhi,1464313680000,188,SK-724
Santo André,Lima,1465857780000,131,WK-724
Tokyo,Qingdao,1466314260000,526,RK-306
Ningbo,Manila,1465757940000,177,RK-134
Dalian,Harbin,1464510180000,83,FI-618
León,Guatemala,1466521500000,33,SK-784
Bayrut,Tokyo,1465189080000,519,HN-817
Warri,Kinshasa,1465964280000,132,FI-476
Tanggu,Handan,1464524340000,30,AD-701
Guatemala,Lima,1465965720000,136,NS-212
Vijayawada,Jaipur,1466449320000,56,NS-546
Huaibei,Tokyo,1464436020000,514,TX-888
Wuhan,Dhaka,1466518260000,169,KG-836
Göteborg,Copenhagen,1465569660000,25,WK-896
Handan,Benxi,1465081800000,37,SK-411
Amritsar,Nagpur,1466150760000,52,WI-705
Toronto,Milwaukee,1466095380000,82,SC-241
Moscow,Rome,1465648740000,206,HN-918
Shihezi,Calcutta,1465000620000,82,AM-626
Medellín,Barranquilla,1466415420000,53,UA-923
Uberlândia,Brasília,1465114080000,44,NS-483
Bulawayo,Port Elizabeth,1465660200000,29,SC-717
Kingston,Jacksonville,1466686020000,21,CE-529
Chandigarh,Visakhapatnam,1465924440000,31,EA-265
Liaoyang,Jinan,1465259760000,43,NS-599
Rajshahi,Haora,1466213280000,27,SC-379
Amravati,Aurangabad,1466202900000,25,SK-256
Bombay,Kota,1465746300000,213,UA-181
Aligarh,Varanasi,1466299860000,30,KG-392
Ranchi,Bombay,1464556800000,216,WI-244
Trujillo,Lima,1466305140000,133,CE-130
Izmir,Tabriz,1464961560000,62,SC-292
Ulaanbaatar,Chengdu,1464599760000,76,AM-537
Riga,Helsinki,1464729000000,20,QI-929
Copenhagen,Cologne,1464171480000,32,CE-877
Zhangjiakou,Shenyang,1465500540000,66,HN-135
Penza,Moscow,1464292440000,173,WK-415
Tokyo,Semarang,1466596680000,520,NS-299
Delhi,Tbilisi,1466698200000,190,HN-699
London,Rabat,1465882680000,147,EA-100
Irbil,Baghdad,1465536600000,104,SK-687
Pune,Bareli,1466081460000,58,SK-771
Faridabad,Jabalpur,1466688360000,36,EA-434
Jos,Onitsha,1465148460000,21,TX-856
Yantai,Benxi,1465956540000,27,RK-370
Wahran,Madrid,1465919580000,59,AM-867
Anyang,Hangzhou,1465197240000,42,EA-930
Medellín,Ecatepec,1464942840000,60,QI-188
Bombay,Surat,1466495400000,247,AM-452
Tokyo,Kaohsiung,1466651100000,524,SC-457
Konya,Izmir,1464543540000,53,AM-763
Jilin,Anyang,1466188200000,42,WI-639
Ghaziabad,Peking,1464736860000,137,KG-391
